t,bx,by,bz,pg,s0_sym0_energy,s0_sym0_symmetry,s0_sym1_energy,s0_sym1_symmetry,s0_sym2_energy,s0_sym2_symmetry,s1_sym0_energy,s1_sym0_symmetry,s1_sym1_energy,s1_sym1_symmetry,s1_sym2_energy,s1_sym2_symmetry
8.0,0.5,0.0,0.0,Cs,0.8207248,|A|^('),1.2001705,|A|^('),1.2001705,|A|^('),0.8207248,|A|^('),1.2001705,|A|^('),1.2001705,|A|^(')
10.0,0.5,0.0,0.0,Cs,0.0552778,|A|^('),0.4298297,|A|^('),0.4298297,|A|^('),0.0552778,|A|^('),0.4298297,|A|^('),0.4298297,|A|^(')
12.0,0.5,0.0,0.0,Cs,-0.4358846,|A|^('),-0.0667353,|A|^('),-0.0667353,|A|^('),-0.4358846,|A|^('),-0.0667353,|A|^('),-0.0667353,|A|^(')
14.0,0.5,0.0,0.0,Cs,-0.7704689,|A|^('),-0.4071152,|A|^('),-0.4071152,|A|^('),-0.7704689,|A|^('),-0.4071152,|A|^('),-0.4071152,|A|^(')
16.0,0.5,0.0,0.0,Cs,-1.0076067,|A|^('),-0.6503512,|A|^('),-0.6503512,|A|^('),-1.0076067,|A|^('),-0.6503512,|A|^('),-0.6503512,|A|^(')
18.0,0.5,0.0,0.0,Cs,-1.1803601,|A|^('),-0.8294263,|A|^('),-0.8294263,|A|^('),-1.1803601,|A|^('),-0.8294263,|A|^('),-0.8294263,|A|^(')
20.0,0.5,0.0,0.0,Cs,-1.3086929,|A|^('),-0.9642327,|A|^('),-0.9642327,|A|^('),-1.3086929,|A|^('),-0.9642327,|A|^('),-0.9642327,|A|^(')
22.0,0.5,0.0,0.0,Cs,-1.405368,|A|^('),-1.0674705,|A|^('),-1.0674705,|A|^('),-1.405368,|A|^('),-1.0674705,|A|^('),-1.0674705,|A|^(')
24.0,0.5,0.0,0.0,Cs,-1.4788998,|A|^('),-1.1475993,|A|^('),-1.1475993,|A|^('),-1.4788998,|A|^('),-1.1475993,|A|^('),-1.1475993,|A|^(')
26.0,0.5,0.0,0.0,Cs,-1.5351691,|A|^('),-1.2104503,|A|^('),-1.2104503,|A|^('),-1.5351691,|A|^('),-1.2104503,|A|^('),-1.2104503,|A|^(')
28.0,0.5,0.0,0.0,Cs,-1.5783562,|A|^('),-1.2601581,|A|^('),-1.2601581,|A|^('),-1.5783562,|A|^('),-1.2601581,|A|^('),-1.2601581,|A|^(')
30.0,0.5,0.0,0.0,Cs,-1.611508,|A|^('),-1.2997248,|A|^('),-1.2997248,|A|^('),-1.611508,|A|^('),-1.2997248,|A|^('),-1.2997248,|A|^(')
32.0,0.5,0.0,0.0,Cs,-1.6368911,|A|^('),-1.3313733,|A|^('),-1.3313733,|A|^('),-1.6368911,|A|^('),-1.3313733,|A|^('),-1.3313733,|A|^(')
34.0,0.5,0.0,0.0,Cs,-1.6562221,|A|^('),-1.3567773,|A|^('),-1.3567773,|A|^('),-1.6562221,|A|^('),-1.3567773,|A|^('),-1.3567773,|A|^(')
36.0,0.5,0.0,0.0,Cs,-1.6708182,|A|^('),-1.3772118,|A|^('),-1.3772118,|A|^('),-1.6708182,|A|^('),-1.3772118,|A|^('),-1.3772118,|A|^(')
38.0,0.5,0.0,0.0,Cs,-1.6817021,|A|^('),-1.3936594,|A|^('),-1.3936594,|A|^('),-1.6817021,|A|^('),-1.3936594,|A|^('),-1.3936594,|A|^(')
40.0,0.5,0.0,0.0,Cs,-1.6896766,|A|^('),-1.4068844,|A|^('),-1.4068844,|A|^('),-1.6896766,|A|^('),-1.4068844,|A|^('),-1.4068844,|A|^(')
42.0,0.5,0.0,0.0,Cs,-1.6953776,|A|^('),-1.417487,|A|^('),-1.417487,|A|^('),-1.6953776,|A|^('),-1.417487,|A|^('),-1.417487,|A|^(')
44.0,0.5,0.0,0.0,Cs,-1.6993123,|A|^('),-1.425942,|A|^('),-1.425942,|A|^('),-1.6993123,|A|^('),-1.425942,|A|^('),-1.425942,|A|^(')
46.0,0.5,0.0,0.0,Cs,-1.7018879,|A|^('),-1.4326289,|A|^('),-1.4326289,|A|^('),-1.7018879,|A|^('),-1.4326289,|A|^('),-1.4326289,|A|^(')
48.0,0.5,0.0,0.0,Cs,-1.7034326,|A|^('),-1.4378528,|A|^('),-1.4378528,|A|^('),-1.7034326,|A|^('),-1.4378528,|A|^('),-1.4378528,|A|^(')
50.0,0.5,0.0,0.0,Cs,-1.7042113,|A|^('),-1.4418616,|A|^('),-1.4418616,|A|^('),-1.7042113,|A|^('),-1.4418616,|A|^('),-1.4418616,|A|^(')
52.0,0.5,0.0,0.0,Cs,-1.704437,|A|^('),-1.4448578,|A|^('),-1.4448578,|A|^('),-1.704437,|A|^('),-1.4448578,|A|^('),-1.4448578,|A|^(')
54.0,0.5,0.0,0.0,Cs,-1.70428,|A|^('),-1.4470086,|A|^('),-1.4470086,|A|^('),-1.70428,|A|^('),-1.4470086,|A|^('),-1.4470086,|A|^(')
56.0,0.5,0.0,0.0,Cs,-1.7038751,|A|^('),-1.4484533,|A|^('),-1.4484533,|A|^('),-1.7038751,|A|^('),-1.4484533,|A|^('),-1.4484533,|A|^(')
